m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
2.765625,87.34375,46.09375,1000,2.296875,55.46875,46.09375,1000,118.828125,3.640625,3237.54977118,1146574922.73,7198.67698936,9.67541455615,334.616129613,1890.4788401,217.391304348,1,217.391304348,782.608695652,Viga
3.765625,57.34375,76.09375,1000,3.296875,85.46875,76.09375,1000,93.828125,2.640625,3291.60802233,882736091.112,7028.25012882,15.8567572078,207.58393278,1360.4368137,209.090909091,1,209.090909091,790.909090909,Viga
2.140625,61.09375,87.34375,1000,2.421875,51.71875,87.34375,1000,103.203125,2.265625,1293.79419005,1086036445.37,4121.14194469,10.3643844916,124.83077901,1619.6117984,174.107142857,1,174.107142857,825.892857143,Viga
3.140625,91.09375,57.34375,1000,3.421875,81.71875,57.34375,1000,78.203125,3.265625,4207.53216619,1226723591.17,9294.46117937,14.4320186325,291.541486561,1562.3702802,200.892857143,1,200.892857143,799.107142857,Viga
2.640625,76.09375,72.34375,1000,2.921875,96.71875,72.34375,1000,115.703125,3.765625,2632.79480623,1171457124.02,6744.74367046,14.1680088867,185.82673312,1493.1398557,225.490196078,1,225.490196078,774.509803922,Viga
3.640625,46.09375,42.34375,1000,3.921875,66.71875,42.34375,1000,90.703125,2.765625,1700.83619107,396238944.781,4424.79745668,11.1676481975,152.300301817,887.8095481,157.4219,1,0,1000,Cartela
2.390625,98.59375,64.84375,1000,3.671875,89.21875,64.84375,1000,109.453125,2.015625,2715.28278983,1090246306.64,8127.63089525,14.7612913806,183.946154833,2074.6930187,235.294117647,1,235.294117647,764.705882353,Viga
3.390625,68.59375,94.84375,1000,2.671875,59.21875,94.84375,1000,84.453125,3.015625,3712.57774712,1078951614.73,7943.02460855,15.0147718111,247.26168295,1134.6803103,147.058823529,1,147.058823529,852.941176471,Viga
2.890625,53.59375,49.84375,1000,3.171875,44.21875,49.84375,1000,96.953125,3.515625,1777.00745776,789634095.09,3856.69595297,9.24819746298,192.146357696,941.8021064,176.829268293,1,176.829268293,823.170731707,Viga
3.890625,83.59375,79.84375,1000,2.171875,74.21875,79.84375,1000,71.953125,2.515625,4560.30340076,890750530.354,9738.02616994,14.8757846059,306.558848598,803.5390676,10.6026857143,1,0,1000,Cartela
2.078125,47.96875,70.46875,1000,3.859375,61.09375,70.46875,1000,76.640625,2.953125,918.102876446,1107726225.34,2498.07959302,11.5458040121,79.5183146609,1264.6009036,152.34375,1,152.34375,847.65625,Viga
3.078125,77.96875,40.46875,1000,2.859375,91.09375,40.46875,1000,101.640625,3.953125,3444.5781624,907908806.565,7851.70937044,11.5766805542,297.544546234,2164.7999487,226.5625,1,226.5625,773.4375,Viga
2.578125,92.96875,85.46875,1000,3.359375,76.09375,85.46875,1000,89.140625,3.453125,2884.76288059,1077648361.99,8535.69495493,15.688084374,183.882417497,1237.3669043,182.291666667,1,182.291666667,817.708333333,Viga
3.578125,62.96875,55.46875,1000,2.359375,46.09375,55.46875,1000,114.140625,2.453125,3132.14258377,731680271.252,7219.21023745,10.2620070457,305.217348791,1204.3435264,198.630136986,1,198.630136986,801.369863014,Viga
2.328125,70.46875,47.96875,1000,2.109375,83.59375,47.96875,1000,82.890625,2.703125,1770.80902041,1179075163.7,4100.27911825,8.64127603647,204.924482557,1451.0849172,199.21875,1,199.21875,800.78125,Viga
3.328125,40.46875,77.96875,1000,3.109375,53.59375,77.96875,1000,107.890625,3.703125,1704.24448411,759874258.278,3654.7759835,12.6438916104,134.787970083,969.1975604,183.59375,1,183.59375,816.40625,Viga
2.828125,55.46875,62.96875,1000,2.609375,68.59375,62.96875,1000,70.390625,3.203125,1849.43722133,1036703685.07,3935.16980286,10.4658260804,176.712015576,1312.5093769,164.0625,1,164.0625,835.9375,Viga
